month,P_t,D_t,S_t,month_num,year,month_sin,month_cos,D_t_lag1,D_t_lag2,D_t_lag3,D_t_lag6,D_t_lag12,D_t_ma3,D_t_std3,D_t_ma6,D_t_std6,D_t_ma12,D_t_std12
2009-06-01,3592300.0,448550.0,0.1248642930712913,6,2009,1.2246467991473532e-16,-1.0,440250.0,417200.0,297675.0,345850.0,44600.0,385041.6666666667,76534.47888588077,352754.1666666667,65034.67424510303,238377.08333333334,151273.16368769226
2009-07-01,3876150.0,474300.0,0.1223636856158817,7,2009,-0.4999999999999997,-0.8660254037844388,448550.0,440250.0,417200.0,274525.0,140000.0,435333.3333333333,16243.024143715596,369870.8333333333,75523.29014394611,272039.5833333333,149162.63258998294
2009-08-01,4318650.0,448900.0,0.1039445196994431,8,2009,-0.8660254037844384,-0.5000000000000004,474300.0,448550.0,440250.0,341025.0,37900.0,454366.6666666667,17754.600342821795,403166.6666666667,68821.19525746896,299897.9166666667,153417.48872777793
2009-09-01,5107225.0,641600.0,0.1256259514707106,9,2009,-1.0,-1.8369701987210297e-16,448900.0,474300.0,448550.0,297675.0,26500.0,457250.0,14766.770127553087,421145.8333333333,63201.634505498885,334147.9166666667,134295.51770186
2009-10-01,6289450.0,1050850.0,0.1670813823148288,10,2009,-0.8660254037844386,0.5000000000000001,641600.0,448900.0,474300.0,417200.0,148500.0,521600.0,104696.17949094415,478466.6666666667,81991.6560795467,385406.25,123118.08408126276
2009-11-01,6848875.0,845950.0,0.1235166359438593,11,2009,-0.5000000000000004,0.8660254037844384,1050850.0,641600.0,448900.0,440250.0,346500.0,713783.3333333334,307398.3992042465,584075.0,241065.7643673195,460602.0833333333,210103.1222611922
2009-12-01,7126475.0,575650.0,0.0807762603531198,12,2009,-2.4492935982947064e-16,1.0,845950.0,1050850.0,641600.0,448550.0,345850.0,846133.3333333334,204625.06159640691,651691.6666666666,249409.02833832352,502222.9166666667,233600.8149255937
2010-01-01,7385950.0,885025.0,0.1198254794576188,1,2010,0.49999999999999994,0.8660254037844387,575650.0,845950.0,1050850.0,474300.0,274525.0,824150.0,238348.88294263094,672875.0,233601.24732115626,521372.9166666667,228990.10013791907
2010-02-01,7460000.0,662575.0,0.0888170241286863,2,2010,0.8660254037844386,0.5000000000000001,885025.0,575650.0,845950.0,448900.0,341025.0,768875.0,168474.44724645925,741329.1666666666,223744.2593770099,572247.9166666666,236844.9592268626
2010-03-01,8664750.0,757500.0,0.0874231801263741,3,2010,1.0,6.123233995736766e-17,662575.0,885025.0,575650.0,641600.0,297675.0,707750.0,159558.16533477686,776941.6666666666,180768.0106287246,599043.75,226260.03270698988
2010-04-01,9510575.0,830550.0,0.0873291047071286,4,2010,0.8660254037844387,-0.4999999999999998,757500.0,662575.0,885025.0,1050850.0,417200.0,768366.6666666666,111622.4169167346,796258.3333333334,169237.8080296087,637362.5,208848.56777426938
